"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months -6 to 0)}","0 (NaN\%)"
"Age","39 (29, 50)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","198566 (38.7\%)"
"\hspace{0.5cm}Female","313886 (61.3\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","213047 (49.9\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","7772 (1.8\%)"
"\hspace{0.5cm}Asian, non-Hispanic","34631 (8.1\%)"
"\hspace{0.5cm}Black, non-Hispanic","75465 (17.7\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","3271 (0.8\%)"
"\hspace{0.5cm}Hispanic, all races","92564 (21.7\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","270 (0.1\%)"
"\hspace{0.5cm}Unknown","85432 (16.7\%)"
"Primary language English","379772 (86\%)"
"\hspace{0.5cm}Unknown","71098 (13.9\%)"
"Married/partnered","36900 (20.7\%)"
"\hspace{0.5cm}Unknown","333952 (65.2\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","89836 (62.3\%)"
"\hspace{0.5cm}2","19115 (13.2\%)"
"\hspace{0.5cm}$\geq$ 3","35331 (24.5\%)"
"\hspace{0.5cm}Unknown","368170 (71.8\%)"
"Veteran","660 (0.6\%)"
"\hspace{0.5cm}Unknown","402156 (78.5\%)"
"High income ($>$ 138FPL)","13449 (2.6\%)"
"TANF Benefits","50060 (12.6\%)"
"\hspace{0.5cm}Unknown","113685 (22.2\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","7806 (3.7\%)"
"\hspace{0.5cm}Not applicable","203576 (96.3\%)"
"\hspace{0.5cm}Unknown","301070 (58.8\%)"
"Psychiatric conditions \& counseling:","0 (NaN\%)"
"\hspace{0.5cm}ADHD","6797 (1.3\%)"
"\hspace{0.5cm}Anxiety","63447 (12.4\%)"
"\hspace{0.5cm}Bipolar","14623 (2.9\%)"
"\hspace{0.5cm}Depression","48123 (9.4\%)"
"\hspace{0.5cm}Other mental illness","23615 (4.6\%)"
"\hspace{0.5cm}Mental health counseling","34016 (6.6\%)"
"Alcohol use disorder","11421 (2.2\%)"
"Other drug use disorder (non-opioid)","36172 (7.1\%)"
"\textbf{Healthcare Utilization}","0 (NaN\%)"
"Emergency department","0 (NaN\%)"
"\hspace{0.5cm}0","383214 (74.8\%)"
"\hspace{0.5cm}1-2","115293 (22.5\%)"
"\hspace{0.5cm}3+","13945 (2.7\%)"
"Inpatient hospitalizations","0 (NaN\%)"
"\hspace{0.5cm}0","502334 (98\%)"
"\hspace{0.5cm}1+","10118 (2\%)"
"Outpatient visits","0 (NaN\%)"
"\hspace{0.5cm}0","6510 (1.3\%)"
"\hspace{0.5cm}1-25","487218 (95.1\%)"
"\hspace{0.5cm}26+","18724 (3.7\%)"
